epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6408.24,0.43983,0.47788,0.79025,0.96647,0.93757,0.96898,0.912,0.36075,0.43399,0.76326,0.0002105,0.0002105,0.0002105
86,6482.39,0.49283,0.49019,0.78921,0.97094,0.94033,0.9676,0.90944,0.35808,0.44135,0.76374,0.000198125,0.000198125,0.000198125
87,6553.86,0.42997,0.48639,0.79025,0.97343,0.94202,0.96766,0.90519,0.37364,0.43176,0.7639,0.00018575,0.00018575,0.00018575
88,6625.75,0.44673,0.48528,0.78708,0.97038,0.94287,0.97142,0.91345,0.35417,0.41782,0.76264,0.000173375,0.000173375,0.000173375
89,6700.22,0.44505,0.46424,0.79111,0.97041,0.94119,0.96936,0.90957,0.3626,0.4111,0.76395,0.000161,0.000161,0.000161
90,6767.55,0.45034,0.45739,0.7902,0.97986,0.93808,0.97103,0.91432,0.35438,0.40306,0.76404,0.000148625,0.000148625,0.000148625
91,6839.96,0.39681,0.40686,0.78668,0.98541,0.93384,0.96675,0.87843,0.46931,0.43882,0.76779,0.00013625,0.00013625,0.00013625
92,6916.73,0.40361,0.39917,0.77839,0.98294,0.93281,0.96664,0.88904,0.43931,0.45333,0.76595,0.000123875,0.000123875,0.000123875
93,6988.68,0.38076,0.42041,0.78265,0.97002,0.9413,0.96948,0.9122,0.36556,0.4366,0.76341,0.0001115,0.0001115,0.0001115
94,7056.52,0.38013,0.39203,0.78331,0.96666,0.94517,0.96919,0.90592,0.37773,0.4393,0.76483,9.9125e-05,9.9125e-05,9.9125e-05
95,7122.85,0.35693,0.3836,0.78278,0.97131,0.94401,0.97074,0.91112,0.36344,0.43568,0.76414,8.675e-05,8.675e-05,8.675e-05
96,7188.88,0.34734,0.37243,0.7798,0.96617,0.9437,0.96951,0.9153,0.33701,0.43199,0.76271,7.4375e-05,7.4375e-05,7.4375e-05
97,7255.15,0.35722,0.37716,0.78557,0.96548,0.94074,0.96864,0.9127,0.33888,0.43543,0.7622,6.2e-05,6.2e-05,6.2e-05
98,7326.28,0.34057,0.37503,0.77913,0.96613,0.93941,0.96752,0.90729,0.35346,0.43999,0.76285,4.9625e-05,4.9625e-05,4.9625e-05
99,7403.91,0.3345,0.35469,0.77721,0.96625,0.93898,0.96852,0.91218,0.33791,0.43518,0.76246,3.725e-05,3.725e-05,3.725e-05
100,7478.98,0.35042,0.363,0.77951,0.96621,0.94116,0.96915,0.91538,0.33287,0.43035,0.76236,2.4875e-05,2.4875e-05,2.4875e-05
